HD 43691 b,2.49,,36.96,0.24,,radial vel.,2007,304,1.38,6200,,https://en.wikipedia.org/wiki/HD_43691_b
HD 45350 b,1.79,,963.6,1.92,,radial vel.,2004,159.7,1.02,5616,,https://en.wikipedia.org/wiki/HD_45350_b
HD 45364 b,0.1872,,226.93,0.6813,,radial vel.,2008,106.3,,,,https://en.wikipedia.org/wiki/HD_45364_b
HD 45364 c,0.6579,,342.85,0.8972,,radial vel.,2008,106.3,,,,https://en.wikipedia.org/wiki/HD_45364_c
HD 45652 b,0.47,,43.6,0.23,,radial vel.,2008,117.9,0.83,5312,,https://en.wikipedia.org/wiki/HD_45652_b
HD 46375 b,0.226,,3.023573,0.0398,,radial vel.,2000,109.0,0.92,5285,,https://en.wikipedia.org/wiki/HD_46375_b
HD 47186 b,0.07167,,4.0845,0.05,,radial vel.,2008,123.4,0.99,5675,,https://en.wikipedia.org/wiki/HD_47186_b
HD 47186 c,0.35061,,1353.6,2.395,,radial vel.,2008,123.4,0.99,5675,,https://en.wikipedia.org/wiki/HD_47186_c
HD 47536 b,7.32,,712.13,1.93,,radial vel.,2002,395.8,0.91,4424,,https://en.wikipedia.org/wiki/HD_47536_b
HD 48265 b,1.47,,780.3,1.81,,radial vel.,2008,279,1.28,5650,,https://en.wikipedia.org/wiki/HD_48265_b
HD 49674 b,0.105,,4.94737,0.058,,radial vel.,2002,132.8,1.06,5662,,https://en.wikipedia.org/wiki/HD_49674_b
HD 50499 b,1.71,,2482.7,3.86,,radial vel.,2005,154.1,1.24,,,https://en.wikipedia.org/wiki/HD_50499_b
HD 50554 b,4.954,,1293,2.353,,radial vel.,2002,101.2,1.04,5987,,https://en.wikipedia.org/wiki/HD_50554_b
HD 52265 b,1.05,,119.6,0.5,,radial vel.,2000,91.6,1.18,6060,,https://en.wikipedia.org/wiki/HD_52265_b
HD 60532 b,1.06,,201.9,0.77,,radial vel.,2008,83,1.5,6245,,https://en.wikipedia.org/wiki/HD_60532_b
HD 60532 c,2.51,,600.1,1.6,,radial vel.,2008,83,1.5,6245,,https://en.wikipedia.org/wiki/HD_60532_c
HD 63454 b,0.398,1.098,2.818049,0.0368,,radial vel.,2005,117,0.84,4840,,https://en.wikipedia.org/wiki/HD_63454_b
HD 63765 b,0.64,,358,0.94,,radial vel.,2009,106.4,,,,https://en.wikipedia.org/wiki/HD_63765_b
HD 65216 b,1.26,,572.4,1.3,,radial vel.,2003,116.1,0.92,5666,,https://en.wikipedia.org/wiki/HD_65216_b
HD 66428 b,2.82,,1973,3.18,,radial vel.,2005,179.5,1.1,5752,,https://en.wikipedia.org/wiki/HD_66428_b
HD 68988 b,1.86,,6.27711,0.0704,,radial vel.,2001,191.8,1.18,5960,,https://en.wikipedia.org/wiki/HD_68988_b
HD 69830 b,0.0321,,8.667,0.0785,,radial vel.,2006,41.0,0.86,5385,,https://en.wikipedia.org/wiki/HD_69830_b
HD 69830 c,0.0371,,31.56,0.186,,radial vel.,2006,41.0,0.86,5385,,https://en.wikipedia.org/wiki/HD_69830_c
HD 69830 d,0.057,,197,0.63,,radial vel.,2006,41.0,0.86,5385,,https://en.wikipedia.org/wiki/HD_69830_d
HD 70573 b,6.1,,851.8,1.76,,radial vel.,2007,149,1,5737,,https://en.wikipedia.org/wiki/HD_70573_b
HD 70642 b,1.97,,2068,3.23,,radial vel.,2003,93.8,1.05,5706,,https://en.wikipedia.org/wiki/HD_70642_b
HD 72659 b,3.15,,3658,4.74,,radial vel.,2002,168,1.06,5926,,https://en.wikipedia.org/wiki/HD_72659_b
HD 73256 b,1.87,,2.54858,0.037,,radial vel.,2003,119.1,1.05,5570,,https://en.wikipedia.org/wiki/HD_73256_b
HD 73267 b,3.06,,1260,2.198,,radial vel.,2008,179.1,0.89,5317,,https://en.wikipedia.org/wiki/HD_73267_b
